Case ID,Mission,Payload,Range,Endurance,Cruise Speed,Takeoff,Landing,Environment,Pipeline Status,Final Status,Failed Stage,Failure Category,Failure Reason,Iterations,Converged,Verification Status,Final MTOW,Wing Area,Wing Span,Aspect Ratio,Root Chord,Tip Chord,Taper Ratio,Selected Configuration,Selected Motor,Selected Propeller,Battery,Static Margin,Performance Status,Warnings,Execution Time
834,RESEARCH,2.05,59.8,29.3,139.4,CATAPULT,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.,0,False,N/A,6.492999999999999,0.3805,1.9014,9.5,0.2668,0.1334,0.5,High Wing / Conventional,T-Motor MN5008,18x10 APC,0.956 kg,0.728,SATISFIED,,4058.5133
835,TRAINING,2.0,534.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (534.0 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.2936
836,TRAINING,0.77,233.8,106.1,118.5,HAND_LAUNCH,PARACHUTE,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (233.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1429,1.2251,10.5,0.1555,0.0778,0.5,High Wing / Conventional,SunnySky X2216,13x8 APC,,,,,3.4422
837,MAPPING,0.54,74.3,171.8,69.8,HAND_LAUNCH,PARACHUTE,FOREST,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Cruise speed (69.8 kmh) is below the minimum safe cruise speed boundary (89.6 kmh, representing a 20.0% safety margin above clean stall).",0,False,N/A,3.59,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,SunnySky X2216,11x7 APC,1.239 kg,0.536,,,3.7688
838,CUSTOM,3.34,135.8,64.0,164.1,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (135.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.62,2.5515,10.5,0.324,0.162,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,,,,,3.6096
839,TRAINING,19.86,46.9,29.3,66.4,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 5498.1 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,3.6867,6.2217,10.5,0.7901,0.395,0.5,High Wing / Conventional,,,,,,,4.3443
840,SURVEY,0.0,30.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Payload capacity must be positive (got 0.0 kg),0,False,N/A,,,,,,,,,,,,,,,0.2283
841,SURVEY,0.0,30.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Payload capacity must be positive (got 0.0 kg),0,False,N/A,,,,,,,,,,,,,,,0.2908
842,SURVEY,1.74,235.7,118.2,134.2,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (235.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.323,1.8416,10.5,0.2339,0.1169,0.5,High Wing / Conventional,T-Motor MN5008,18x10 APC,,,,,9.3406
843,SECURITY,0.67,252.9,160.3,101.7,HAND_LAUNCH,NET_RECOVERY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.13 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1244,1.4107,16.0,0.1123,0.0,0.0,High Wing / Twin Boom,,,,,,,4.7553
844,MAPPING,0.85,28.1,32.6,179.1,CATAPULT,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,1,False,N/A,3.279,0.1578,1.2872,10.5,0.1635,0.0817,0.5,High Wing / Conventional,SunnySky X2216,13x8 APC,0.575 kg,0.588,SATISFIED,,11133.5798
845,CUSTOM,3.77,238.1,68.9,155.8,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (238.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.6998,2.7108,10.5,0.3442,0.1721,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,,,,,3.7736
846,SURVEY,1.0,30.0,-10.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Flight time target must be positive (got -10.0 minutes); Mission range (30.0 km) is physically inconsistent with cruise speed (80.0 km/h) and flight time (-10.0 min). Max theoretical range is -13.3 km.,0,False,N/A,,,,,,,,,,,,,,,0.3423
847,DISASTER_RESPONSE,8.48,38.2,25.3,79.1,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,12.222999999999999,1.5742,4.0656,10.5,0.5163,0.2581,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,1.728 kg,0.18,SATISFIED,,4680.799
848,SURVEY,1.0,-5.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range must be positive (got -5.0 km),0,False,N/A,,,,,,,,,,,,,,,0.4956
849,AGRICULTURE,0.41,94.5,210.3,51.3,HAND_LAUNCH,BELLY_LANDING,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (94.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1114,0.914,7.5,0.1219,0.1219,1.0,High Wing / Conventional,SunnySky X2216,11x7 APC,,,,,6.2099
850,DELIVERY,1.29,123.1,154.8,57.6,CATAPULT,PARACHUTE,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Cargo' in database weighs 2.00 kg, which exceeds the maximum allowed structural payload limit of 1.35 kg.",0,False,N/A,,0.2395,1.4013,8.2,0.2279,0.1139,0.5,High Wing / Conventional,,,,,,,4.0704
851,SURVEY,0.0,30.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Payload capacity must be positive (got 0.0 kg),0,False,N/A,,,,,,,,,,,,,,,0.2779
852,RESEARCH,11.79,62.9,156.7,108.3,RUNWAY,RUNWAY,RURAL,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,MASS_SIZING,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (35.23 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,0,False,N/A,,2.1886,4.5598,9.5,0.64,0.32,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,,,,,3.8446
853,DISASTER_RESPONSE,3.72,94.5,66.9,77.3,RUNWAY,RUNWAY,MOUNTAIN,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (94.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.6906,2.6927,10.5,0.3419,0.171,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,,,,,3.4883
854,DISASTER_RESPONSE,41.09,30.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 11375.5 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,7.6277,8.9493,10.5,1.1364,0.5682,0.5,High Wing / Conventional,,,,,,,3.2995
855,INSPECTION,4.7,179.2,70.8,166.5,RUNWAY,RUNWAY,DESERT,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.34 m) exceeds wing root chord (0.30 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.8725,3.7363,16.0,0.2973,0.0,0.0,High Wing / Conventional,,,,,,,4.5092
856,MAPPING,51.48,30.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 14251.8 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,9.5564,10.0171,10.5,1.272,0.636,0.5,High Wing / Conventional,,,,,,,3.3533
857,AGRICULTURE,2.03,145.7,76.3,161.6,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (145.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.3768,1.6811,7.5,0.2241,0.2241,1.0,Low Wing / Conventional,T-Motor MN5008,18x10 APC,,,,,3.8402
858,RESEARCH,1.79,48.9,55.8,84.1,CATAPULT,PARACHUTE,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,Sized payload weight (1.95 kg) exceeds maximum structural payload weight constraint (1.88 kg).,0,False,N/A,,0.3323,1.7767,9.5,0.2494,0.1247,0.5,High Wing / Conventional,,,,,,,2.9874
859,CUSTOM,0.69,53.5,31.7,151.5,CATAPULT,BELLY_LANDING,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,3,False,N/A,2.9059999999999997,0.1281,1.1597,10.5,0.1473,0.0736,0.5,High Wing / Conventional,SunnySky X2216,12x6 APC,0.423 kg,0.658,SATISFIED,,23113.3307
860,DELIVERY,0.36,139.2,220.2,78.8,CATAPULT,PARACHUTE,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Cargo' in database weighs 2.00 kg, which exceeds the maximum allowed structural payload limit of 0.38 kg.",0,False,N/A,,0.1114,0.9557,8.2,0.1554,0.0777,0.5,High Wing / Conventional,,,,,,,2.7138
861,DELIVERY,3.15,195.1,138.7,182.1,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (195.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.5847,2.1897,8.2,0.356,0.178,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,,,,,7.072
862,SURVEY,13.52,114.0,168.0,75.2,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (114.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,2.5098,5.1335,10.5,0.6519,0.3259,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,,,,,5.1404
863,RESEARCH,2.69,185.8,125.5,197.5,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (185.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.4994,2.178,9.5,0.3057,0.1529,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,,,,,27.2897
864,SURVEY,1.29,40.1,34.5,148.3,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,1,False,N/A,4.003,0.2395,1.5857,10.5,0.2014,0.1007,0.5,High Wing / Conventional,SunnySky X2216,16x8 APC,0.741 kg,0.495,SATISFIED,,10496.6383
865,DISASTER_RESPONSE,1.21,128.3,81.0,137.6,CATAPULT,NET_RECOVERY,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (128.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.2246,1.5357,10.5,0.195,0.0975,0.5,High Wing / Conventional,SunnySky X2216,16x8 APC,,,,,3.7523
866,MAPPING,0.74,188.3,148.7,92.7,HAND_LAUNCH,PARACHUTE,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (188.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1374,1.201,10.5,0.1525,0.0763,0.5,High Wing / Conventional,SunnySky X2216,12x6 APC,,,,,5.3694
867,SURVEY,3.14,241.8,140.4,126.9,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (241.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.5829,2.4739,10.5,0.3142,0.1571,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,,,,,5.1093
868,SURVEY,0.31,258.2,134.1,101.3,CATAPULT,PARACHUTE,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.33 kg.",0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,,,,,,,2.9748
869,DELIVERY,2.0,509.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (509.0 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.2883
870,RESEARCH,5.08,128.0,144.4,85.0,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (128.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.943,2.9931,9.5,0.4201,0.21,0.5,High Wing / Conventional,T-Motor AT4120,22x12 APC,,,,,3.6694
871,MAPPING,15.89,30.9,47.7,76.3,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 4399.0 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,2.9497,5.5652,10.5,0.7067,0.3533,0.5,High Wing / Conventional,,,,,,,3.848
872,DELIVERY,1.37,103.9,149.0,64.4,HAND_LAUNCH,BELLY_LANDING,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Cargo' in database weighs 2.00 kg, which exceeds the maximum allowed structural payload limit of 1.44 kg.",0,False,N/A,,0.2543,1.4441,8.2,0.2348,0.1174,0.5,High Wing / Conventional,,,,,,,2.8141
873,INSPECTION,1.66,44.2,62.8,110.0,CATAPULT,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.20 m) exceeds wing root chord (0.18 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.3082,2.2205,16.0,0.1767,0.0,0.0,High Wing / Conventional,,,,,,,5.3305
874,CUSTOM,2.0,468.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (468.0 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.3019
875,DISASTER_RESPONSE,2.67,48.0,21.6,151.2,RUNWAY,BELLY_LANDING,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,0,False,N/A,5.746999999999999,0.4956,2.2813,10.5,0.2897,0.1448,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,0.912 kg,0.324,SATISFIED,,5306.2228
876,DISASTER_RESPONSE,0.56,147.3,199.5,78.9,HAND_LAUNCH,BELLY_LANDING,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (147.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,SunnySky X2216,11x7 APC,,,,,3.144
877,TRAINING,2.04,90.7,45.4,86.1,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (90.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.3787,1.9941,10.5,0.2532,0.1266,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,,,,,4.0003
878,TRAINING,5.24,10.2,42.0,67.3,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,VERIFICATION,INTERNAL_ERROR,Design compliance score (76.0%) is below the minimum required safety compliance boundary (85.0%).,2,False,N/A,8.989999999999998,0.6675,2.5835,10.0,0.3828,0.134,0.35,High Wing / Conventional,T-Motor AT3520,11x7 APC,1.232 kg,0.395,SATISFIED,,10452.7978
879,MILITARY,0.55,68.0,163.6,70.0,HAND_LAUNCH,BELLY_LANDING,FOREST,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1114,1.3349,16.0,0.1062,0.0,0.0,High Wing / Twin Boom,,,,,,,3.4345
880,RESEARCH,12.37,32.8,47.0,84.9,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,20.005,2.2963,4.6706,9.5,0.6555,0.3278,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,5.155 kg,0.181,SATISFIED,,4407.5019
881,TRAINING,2.0,30.0,45.0,327.2,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PERFORMANCE_SIZING,INTERNAL_ERROR,Rate of climb (0.57 m/s) is below the minimum required rate of climb constraint (1.50 m/s).,0,False,N/A,7.138,0.3713,1.9744,10.5,0.2507,0.1254,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,3.002 kg,0.232,,,4.4996
882,SURVEY,0.24,71.1,128.0,55.7,CATAPULT,BELLY_LANDING,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.25 kg.",0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,,,,,,,4.3759
883,MAPPING,3.19,66.3,62.2,70.9,RUNWAY,RUNWAY,MOUNTAIN,INTERNAL_EXCEPTION,INTERNAL_ERROR,VERIFICATION,INTERNAL_ERROR,Design compliance score (76.0%) is below the minimum required safety compliance boundary (85.0%).,5,False,N/A,8.986999999999998,0.6663,2.5814,10.0,0.3824,0.1338,0.35,High Wing / Conventional,T-Motor AT3520,11x7 APC,1.232 kg,0.395,SATISFIED,,25380.5257
884,AGRICULTURE,2.0,462.8,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (462.8 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.3124
885,SURVEY,5.94,27.5,48.1,87.7,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,10.62,1.1027,3.4026,10.5,0.4321,0.216,0.5,High Wing / Conventional,T-Motor AT4120,22x12 APC,2.581 kg,0.18,SATISFIED,,4347.2973
886,INSPECTION,0.33,238.5,172.0,100.0,HAND_LAUNCH,PARACHUTE,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1114,1.3349,16.0,0.1062,0.0,0.0,High Wing / Twin Boom,,,,,,,3.4565
887,SURVEY,1.0,30.0,-10.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Flight time target must be positive (got -10.0 minutes); Mission range (30.0 km) is physically inconsistent with cruise speed (80.0 km/h) and flight time (-10.0 min). Max theoretical range is -13.3 km.,0,False,N/A,,,,,,,,,,,,,,,0.2107
888,RESEARCH,5.6,47.1,21.6,71.8,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (47.1 km) is physically inconsistent with cruise speed (71.8 km/h) and flight time (21.6 min). Max theoretical range is 25.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.1648
889,SURVEY,0.0,30.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Payload capacity must be positive (got 0.0 kg),0,False,N/A,,,,,,,,,,,,,,,0.1955
890,CUSTOM,0.27,224.8,116.7,133.5,HAND_LAUNCH,PARACHUTE,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.28 kg.",0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,,,,,,,2.4262
891,TRAINING,0.29,164.7,87.3,101.5,CATAPULT,PARACHUTE,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.30 kg.",0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,,,,,,,2.8506
892,SECURITY,2.0,30.0,45.0,326.1,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.22 m) exceeds wing root chord (0.19 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.3713,2.4373,16.0,0.194,0.0,0.0,High Wing / Conventional,,,,,,,6.0444
