case_id,original_status,forensic_classification,confidence,physically_infeasible_yes_no_unknown,selector_false_rejection_yes_no_unknown,catalog_limited_yes_no,successful_design_valid_yes_no_unknown,primary_reason,recommended_future_action
FW-085,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (136.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-086,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.15 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-087,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (254.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-088,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.31 m) exceeds wing root chord (0.27 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-089,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 0.66 kg.",Update component database records with missing classes.
FW-090,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.16 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-091,INVALID_REQUIREMENTS,TRUE_MISSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Stall speed target (45.0 km/h) must be less than cruise speed (40.0 km/h),"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-092,PROPULSION_INFEASIBLE,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,Takeoff thrust-to-weight ratio (0.24) is below minimum required constraint limit (0.30).; Selected motor maximum power (4101.4 W) is insufficient to sustain the power required during steady rate of climb (5669.5 W).,Expand propulsion catalog to include heavy-lift motors and larger propeller options.
FW-093,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.05 kg.",Update component database records with missing classes.
FW-094,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.19 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-095,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.22 m) exceeds wing root chord (0.19 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-096,MTOW_LIMIT_EXCEEDED,TRUE_MTOW_LIMIT,High,YES,UNKNOWN,NO,UNKNOWN,MTOW: 26.02 kg (NEAR_LIMIT),"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-097,NON_CONVERGED,TRUE_MISSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.,"Review target range, payload, and speed bounds."
FW-098,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (150.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-099,NON_CONVERGED,TRUE_PROPULSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
FW-100,NON_CONVERGED,TRUE_PROPULSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
