case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-040,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,2.8,47.1,51.0,87.4,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-041,INSPECTION,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,2.25,89.7,61.8,106.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-042,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,1.38,89.8,96.2,99.9,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-043,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (100.70 km).,1.42,100.7,126.9,82.9,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2636,1.5825,9.5,0.2221,0.1111,0.1727,0.5,0.0,3.0,13.467,NACA 4412,1.329,1.187,0.164,0.201,7.24,0.024,0.329,0.0176,0.188,0.95,SunnySky X2820,9x6 APC,,1,2.81,22.89,121.5,600,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-044,INSPECTION,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,2.92,96.2,133.9,81.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.542,2.945,16.0,0.2343,0.0,0.1562,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-045,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 9: Calculated takeoff weight (27.67 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,1.29,34.2,177.8,94.5,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,3.225,24.766,1.29,13.582,0.548,8.949,0.685,0.26,9.894,14.872,2716.4,200.0,0.85,1.7676,4.3082,10.5,0.5471,0.2735,0.4255,0.5,0.0,3.0,13.467,Clark Y,1.524,3.231,0.485,0.592,6.66,0.1455,0.809,0.1178,0.485,2.58,KDE Direct 7215XF,18x10 APC,,1,17.53,115.5,863.2,3400,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,1.164,5.55,1.236,22.47,18.0,47.3,94.5,168.4,6.33,38.73,7.23,280.04,177.8,13.32,9,0.137685,False,,,,,,0,0,NORMAL,
FW-046,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,4.54,109.9,86.6,114.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.8428,3.6721,16.0,0.2922,0.0,0.1948,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-047,MILITARY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,5.07,57.5,104.9,122.4,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-048,MILITARY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,5.38,192.5,220.5,110.6,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.9987,3.9974,16.0,0.3181,0.0,0.2121,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-049,MILITARY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,4.04,87.1,174.8,118.3,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-050,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (100.40 km).,3.94,100.4,220.7,84.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.7314,2.636,9.5,0.37,0.185,0.2877,0.5,0.0,3.0,13.467,NACA 4412,1.425,1.977,0.274,0.335,7.22,0.0665,0.547,0.0487,0.312,1.58,T-Motor AT4120,11x7 APC,,1,7.81,46.04,341.7,1400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-051,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (111.10 km).,3.26,111.1,157.7,100.8,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.6052,2.3977,9.5,0.3365,0.1683,0.2617,0.5,0.0,3.0,13.467,NACA 4412,1.446,1.798,0.249,0.304,7.22,0.055,0.497,0.0403,0.284,1.44,T-Motor AT3520,12x6 APC,,1,6.46,37.67,339.3,950,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-052,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,5.78,178.5,197.8,99.0,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,1.073,4.1434,16.0,0.3297,0.0,0.2198,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-053,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (112.90 km).,6.81,112.9,194.6,107.3,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,1.2642,3.4655,9.5,0.4864,0.2432,0.3783,0.5,0.0,3.0,13.467,NACA 4412,1.584,2.599,0.36,0.44,7.22,0.115,0.719,0.0843,0.411,2.08,KDE Direct 7215XF,10x7 APC,,1,13.49,78.06,754.5,3400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-054,MILITARY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,4.56,150.3,203.7,116.2,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-055,MILITARY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,5.37,149.4,75.1,101.4,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-056,MILITARY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,4.82,100.6,218.3,93.9,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.8948,3.7837,16.0,0.3011,0.0,0.2007,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-057,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,3.21,192.8,100.4,83.4,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-058,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 3: Calculated takeoff weight (29.31 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,3.61,68.9,180.5,108.2,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,9.025,22.024,3.61,10.742,0.488,6.727,0.685,0.26,7.672,14.352,2148.4,200.0,0.85,1.5011,3.7763,9.5,0.53,0.265,0.4122,0.5,0.0,3.0,13.467,NACA 4412,1.623,2.832,0.392,0.479,7.22,0.1365,0.784,0.1001,0.447,2.27,KDE Direct 7215XF,13x8 APC,,1,15.57,92.98,878.2,3400,0.533,Holybro Pixhawk 6C,Dual GNSS,Silvus StreamCaster Lite,,,0.948,-14.82,1.011,0.46,18.0,52.0,108.2,189.1,7.09,35.75,7.01,325.49,180.49,12.73,3,0.366645,False,,,,,,0,0,NORMAL,
FW-059,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (194.60 km).,5.42,194.6,189.3,118.9,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,1.0061,3.0916,9.5,0.4339,0.217,0.3375,0.5,0.0,3.0,13.467,NACA 4412,1.579,2.319,0.321,0.392,7.22,0.0915,0.642,0.0671,0.366,1.85,KDE Direct 7215XF,9x6 APC,,1,10.74,72.76,665.4,3400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-060,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (186.20 km).,5.3,186.2,127.6,127.1,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.9839,3.0572,9.5,0.4291,0.2145,0.3337,0.5,0.0,3.0,13.467,NACA 4412,1.602,2.293,0.317,0.388,7.23,0.0895,0.635,0.0656,0.362,1.83,KDE Direct 7215XF,9x6 APC,,1,10.5,72.76,695.5,3400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-061,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,3.41,165.9,213.1,110.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-062,MILITARY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,3.28,147.1,62.3,101.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-063,DISASTER_RESPONSE,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (156.10 km).,6.31,156.1,138.4,116.7,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,1.1713,3.507,10.5,0.4453,0.2227,0.3464,0.5,0.0,3.0,13.467,Clark Y,1.526,2.63,0.395,0.482,6.66,0.0964,0.659,0.0781,0.395,2.1,KDE Direct 7215XF,9x6 APC,,1,12.06,72.76,733.6,3400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-064,MILITARY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,4.07,177.8,209.5,84.3,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-065,DISASTER_RESPONSE,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (124.10 km).,4.35,124.1,118.5,104.4,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.8075,2.9118,10.5,0.3698,0.1849,0.2876,0.5,0.0,3.0,13.467,Clark Y,1.429,2.184,0.328,0.4,6.66,0.0665,0.547,0.0538,0.328,1.75,T-Motor AT4120,13x8 APC,,1,8.32,51.46,452.4,1400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-066,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (96.70 km).,13.8,96.7,114.7,79.6,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.5617,4.5833,8.2,0.7452,0.3726,0.5796,0.5,0.0,3.0,13.467,Selig S1223,2.164,3.437,0.619,0.756,5.55,0.3509,1.185,0.2135,0.62,2.75,DLE 55cc,22x12 APC,,1,28.7,149.62,1190.4,4101.4,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-067,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (112.90 km).,12.58,112.9,132.2,94.5,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.3353,4.376,8.2,0.7115,0.3558,0.5534,0.5,0.0,3.0,13.467,Selig S1223,2.243,3.282,0.591,0.722,5.55,0.3199,1.131,0.1946,0.592,2.63,DLE 55cc,22x12 APC,,1,26.16,149.62,1288.3,4101.4,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-068,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Calculated takeoff weight (40.16 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,11.92,66.7,123.5,93.7,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.2127,4.2596,8.2,0.6926,0.3463,0.5387,0.5,0.0,3.0,13.467,Selig S1223,2.22,3.195,0.575,0.703,5.56,0.3031,1.101,0.1844,0.576,2.56,DLE 55cc,20x10 APC,,1,24.79,140.41,1210.4,4101.4,0.533,Cube Orange+,Dual GNSS,Silvus StreamCaster Lite,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-069,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Calculated takeoff weight (32.64 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,10.5,72.2,106.3,85.3,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.9491,3.9979,8.2,0.6501,0.325,0.5056,0.5,0.0,3.0,13.467,Selig S1223,2.126,2.998,0.54,0.66,5.55,0.267,1.033,0.1624,0.541,2.4,DLE 35cc,22x12 APC,,1,21.83,123.01,970.6,3057.4,0.533,Cube Orange+,Dual GNSS,Silvus StreamCaster Lite,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-070,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (94.30 km).,6.2,94.3,147.9,79.3,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.1509,3.0721,8.2,0.4995,0.2498,0.3885,0.5,0.0,3.0,13.467,Selig S1223,1.968,2.304,0.415,0.507,5.55,0.1577,0.794,0.0959,0.415,1.84,O.S. GT15,18x10 APC,,1,12.89,75.3,532.8,1789.7,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-071,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (121.20 km).,10.9,121.2,125.6,119.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.0234,4.0733,8.2,0.6623,0.3312,0.5151,0.5,0.0,3.0,13.467,Selig S1223,2.359,3.055,0.55,0.672,5.55,0.2772,1.053,0.1686,0.551,2.44,DLE 55cc,18x10 APC,,1,22.67,130.89,1405.7,4101.4,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-072,DELIVERY,INVALID_REQUIREMENTS,N/A,Mission processing failed: Mission range (115.0 km) is physically inconsistent with cruise speed (72.3 km/h) and flight time (62.1 min). Max theoretical range is 74.8 km.,8.02,115.0,62.1,72.3,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-073,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (134.20 km).,6.26,134.2,111.3,113.6,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.1621,3.0869,8.2,0.5019,0.251,0.3904,0.5,0.0,3.0,13.467,Selig S1223,2.141,2.315,0.417,0.509,5.55,0.1592,0.798,0.0968,0.417,1.85,DLE 35cc,10x7 APC,,1,13.02,72.72,770.7,3057.4,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-074,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (145.90 km).,8.41,145.9,79.1,113.1,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.5612,3.5779,8.2,0.5818,0.2909,0.4525,0.5,0.0,3.0,13.467,Selig S1223,2.229,2.683,0.483,0.59,5.55,0.2139,0.925,0.1301,0.484,2.15,DLE 35cc,16x8 APC,,1,17.49,99.48,1030.8,3057.4,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-075,DELIVERY,INVALID_REQUIREMENTS,N/A,Mission processing failed: Mission range (105.5 km) is physically inconsistent with cruise speed (77.5 km/h) and flight time (52.2 min). Max theoretical range is 67.4 km.,5.74,105.5,52.2,77.5,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-076,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (97.00 km).,7.48,97.0,101.2,99.8,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.3885,3.3743,8.2,0.5487,0.2743,0.4267,0.5,0.0,3.0,13.467,Selig S1223,2.119,2.531,0.456,0.557,5.55,0.1902,0.872,0.1157,0.456,2.02,DLE 35cc,13x8 APC,,1,15.55,86.62,809.0,3057.4,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-077,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (83.10 km).,9.51,83.1,161.1,119.5,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.7654,3.8047,8.2,0.6187,0.3093,0.4812,0.5,0.0,3.0,13.467,Selig S1223,2.31,2.854,0.514,0.628,5.55,0.2419,0.984,0.1471,0.515,2.28,DLE 55cc,14x10 APC,,1,19.78,110.69,1231.6,4101.4,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-078,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Calculated takeoff weight (53.51 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,14.6,41.9,148.0,101.3,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.7102,4.7142,8.2,0.7665,0.3833,0.5962,0.5,0.0,3.0,13.467,Selig S1223,2.347,3.536,0.636,0.778,5.56,0.3713,1.219,0.2258,0.638,2.83,DLE 55cc,22x12 APC,,1,30.36,149.62,1602.8,4101.4,0.533,Cube Orange+,Dual GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-079,DELIVERY,VERIFICATION_FAILED,N/A,Verification execution error: Design compliance score (84.0%) is below the minimum required safety compliance boundary (90.0%).,6.74,39.0,45.4,92.5,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,16.85,20.172,6.74,3.56,0.176,8.397,1.215,0.26,9.872,10.3,712.0,200.0,0.85,1.4819,3.4859,8.2,0.5668,0.2834,0.4409,0.5,0.0,3.0,13.467,Selig S1223,2.096,2.614,0.471,0.575,5.55,0.203,0.901,0.1235,0.471,2.09,DLE 35cc,15x10 APC,,1,16.49,95.29,794.8,3057.4,0.533,Cube Orange+,Dual GNSS,RFDesign RFD900ux,,,0.967,4.49,1.132,41.91,37.4,37.0,92.5,165.2,7.24,27.15,5.47,70.0,45.4,11.83,6,0.008082,True,,,,,,0,0,NORMAL,
FW-080,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Calculated takeoff weight (27.74 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,7.88,63.9,161.0,73.6,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.4628,3.4634,8.2,0.5632,0.2816,0.438,0.5,0.0,3.0,13.467,Selig S1223,1.986,2.598,0.468,0.571,5.55,0.2004,0.895,0.1219,0.468,2.08,DLE 35cc,14x10 APC,,1,16.39,91.01,628.5,3057.4,0.533,Cube Orange+,Dual GNSS,Silvus StreamCaster Lite,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-081,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,3.31,232.2,348.1,91.3,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.6144,3.1355,16.0,0.2495,0.0,0.1663,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-082,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (161.50 km).,1.25,161.5,314.8,98.5,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.232,1.4847,9.5,0.2084,0.1042,0.1621,0.5,0.0,3.0,13.467,NACA 4412,1.345,1.114,0.154,0.188,7.23,0.0211,0.308,0.0155,0.176,0.89,SunnySky X2216,9x6 APC,,1,2.48,16.88,127.1,380,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-083,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (200.10 km).,4.74,200.1,268.9,74.0,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.8799,3.0396,10.5,0.386,0.193,0.3002,0.5,0.0,3.0,13.467,Clark Y,1.355,2.28,0.342,0.418,6.67,0.0724,0.571,0.0587,0.343,1.82,T-Motor AT4120,15x10 APC,,1,9.06,56.61,349.4,1400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-084,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,4.83,267.2,283.5,117.5,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.8966,3.7876,16.0,0.3014,0.0,0.2009,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
