case_id,mission_type,payload_kg,endurance_min,range_km,cruise_speed_kmh,environment,takeoff_type,landing_type,budget,input_valid,selection_success,selected_vehicle_family,selection_score,alternative_vehicle,warnings,failure_category,failure_reason,execution_time_ms
1478,DELIVERY,23.68,79.9,63.7,45.5,RURAL,RUNWAY,VERTICAL,78745.31,True,True,VTOL,0.8,MULTIROTOR,,,,0.0642
1479,SECURITY,1.95,55.8,74.7,94.5,DESERT,HAND_LAUNCH,PARACHUTE,61051.65,True,True,FIXED_WING,1.0,VTOL,,,,0.0674
1480,DELIVERY,0.21,10.3,2.3,26.2,INDOOR,VERTICAL,VERTICAL,9424.51,True,True,MULTIROTOR,0.8,None,,,,0.0593
1481,DELIVERY,6.89,33.7,111.6,67.9,FOREST,VERTICAL,VERTICAL,36613.8,True,True,VTOL,0.95,MULTIROTOR,,,,0.0626
1482,INSPECTION,5.47,81.9,59.8,118.5,FOREST,VERTICAL,VERTICAL,41216.14,True,True,VTOL,0.95,MULTIROTOR,,,,0.0955
1483,MILITARY,0.54,12.8,4.0,17.3,INDOOR,VERTICAL,VERTICAL,45052.22,True,True,MULTIROTOR,0.8,None,,,,0.1956
1484,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0745
1485,AGRICULTURE,3.23,39.4,12.7,24.7,RURAL,VERTICAL,VERTICAL,73007.44,True,True,MULTIROTOR,0.8,VTOL,,,,0.0996
1486,MILITARY,2.22,11.2,9.4,24.5,RURAL,VERTICAL,VERTICAL,10906.53,True,True,MULTIROTOR,0.8,VTOL,,,,0.1354
1487,AGRICULTURE,0.75,20.2,1.3,20.6,INDOOR,VERTICAL,VERTICAL,26456.4,True,True,MULTIROTOR,0.8,None,,,,0.1925
1488,RESEARCH,3.65,128.5,75.6,103.8,FOREST,HAND_LAUNCH,BELLY_LANDING,34996.39,True,True,FIXED_WING,1.0,VTOL,,,,0.1367
1489,SURVEY,1.86,132.7,107.4,58.6,RURAL,HAND_LAUNCH,RUNWAY,44577.63,True,True,FIXED_WING,1.0,VTOL,,,,0.163
1490,CUSTOM,0.36,7.2,3.8,12.4,INDOOR,VERTICAL,VERTICAL,31694.11,True,True,MULTIROTOR,0.8,None,,,,0.1416
1491,SECURITY,3.77,32.5,5.6,38.3,URBAN,VERTICAL,VERTICAL,42526.05,True,True,MULTIROTOR,0.8,VTOL,,,,0.112
1492,DISASTER_RESPONSE,0.85,14.1,0.9,30.1,INDOOR,VERTICAL,VERTICAL,72452.85,True,True,MULTIROTOR,0.8,None,,,,0.0902
1493,TRAINING,6.09,62.0,133.3,86.6,RURAL,VERTICAL,VERTICAL,38435.79,True,True,VTOL,0.95,MULTIROTOR,,,,0.0939
1494,MAPPING,6.16,115.4,98.1,98.1,FOREST,VERTICAL,VERTICAL,26147.28,True,True,VTOL,0.95,MULTIROTOR,,,,0.0816
1495,MAPPING,21.87,28.6,44.9,59.4,DESERT,VERTICAL,RUNWAY,54994.05,True,True,VTOL,0.95,MULTIROTOR,,,,0.1027
1496,SURVEY,22.86,61.9,61.1,85.7,DESERT,RUNWAY,RUNWAY,68268.46,True,True,FIXED_WING,1.0,VTOL,,,,0.0733
1497,INSPECTION,13.91,54.1,42.7,76.5,MOUNTAIN,RUNWAY,VERTICAL,66278.15,True,True,VTOL,0.8,MULTIROTOR,,,,0.0675
1498,SURVEY,2.0,30.0,20.0,350.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,0.0385
1499,SECURITY,19.31,37.0,71.4,63.6,MOUNTAIN,RUNWAY,RUNWAY,50895.41,True,True,FIXED_WING,1.0,VTOL,,,,0.2591
1500,DISASTER_RESPONSE,7.94,74.1,142.1,78.2,FOREST,VERTICAL,VERTICAL,33430.62,True,True,VTOL,0.95,MULTIROTOR,,,,0.0793
1501,TRAINING,14.78,70.0,23.2,60.5,MOUNTAIN,RUNWAY,RUNWAY,22011.74,True,True,FIXED_WING,1.0,VTOL,,,,0.0702
1502,CUSTOM,8.46,64.9,64.6,76.8,RURAL,RUNWAY,VERTICAL,71146.55,True,True,VTOL,0.8,MULTIROTOR,,,,0.0679
1503,MILITARY,1.25,9.3,2.2,24.1,INDOOR,VERTICAL,VERTICAL,26293.93,True,True,MULTIROTOR,0.8,None,,,,0.0677
1504,DISASTER_RESPONSE,2.03,103.6,30.1,83.2,DESERT,CATAPULT,NET_RECOVERY,56032.19,True,True,FIXED_WING,1.0,VTOL,,,,0.0664
1505,AGRICULTURE,2.52,129.0,66.2,89.9,DESERT,HAND_LAUNCH,PARACHUTE,56397.38,True,True,FIXED_WING,1.0,VTOL,,,,0.0749
1506,DELIVERY,1.35,9.5,1.8,35.6,INDOOR,VERTICAL,VERTICAL,17969.58,True,True,MULTIROTOR,0.8,None,,,,0.0634
1507,SURVEY,2.0,30.0,500.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,Extended range target (500.0 km) approaches maximum battery energy density threshold.,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,0.0403
1508,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0355
1509,AGRICULTURE,1.38,14.2,4.9,18.8,INDOOR,VERTICAL,VERTICAL,20486.23,True,True,MULTIROTOR,0.8,None,,,,0.0617
1510,SURVEY,3.0,30.0,-5.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Target range must be greater than 0 km. Provided: -5.0 km.,0.0107
1511,MILITARY,0.64,9.8,3.4,24.4,INDOOR,VERTICAL,VERTICAL,74859.42,True,True,MULTIROTOR,0.8,None,,,,0.0614
1512,RESEARCH,3.72,27.7,4.6,49.4,RURAL,VERTICAL,VERTICAL,56606.11,True,True,MULTIROTOR,0.8,VTOL,,,,0.0673
1513,SECURITY,2.29,19.6,2.5,35.8,URBAN,VERTICAL,VERTICAL,69409.49,True,True,MULTIROTOR,0.8,VTOL,,,,0.0631
1514,TRAINING,0.64,10.0,2.7,16.5,INDOOR,VERTICAL,VERTICAL,72469.17,True,True,MULTIROTOR,0.8,None,,,,0.0589
1515,SURVEY,24.44,69.9,56.1,66.5,MOUNTAIN,VERTICAL,VERTICAL,58027.73,True,True,VTOL,0.95,MULTIROTOR,,,,0.0652
1516,CUSTOM,14.25,44.4,38.8,47.6,MOUNTAIN,RUNWAY,VERTICAL,70238.09,True,True,VTOL,0.8,MULTIROTOR,,,,0.0644
1517,MAPPING,2.85,19.7,10.8,23.3,RURAL,VERTICAL,VERTICAL,55232.7,True,True,MULTIROTOR,0.8,VTOL,,,,0.0646
1518,DISASTER_RESPONSE,4.75,67.8,47.0,116.8,MOUNTAIN,VERTICAL,VERTICAL,78636.21,True,True,VTOL,0.95,MULTIROTOR,,,,0.0666
1519,TRAINING,0.71,15.1,1.2,33.5,INDOOR,VERTICAL,VERTICAL,18835.83,True,True,MULTIROTOR,0.8,None,,,,0.0595
1520,SURVEY,2.79,30.4,133.1,112.0,FOREST,VERTICAL,VERTICAL,51321.49,True,True,VTOL,0.95,MULTIROTOR,,,,0.0831
1521,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0355
1522,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0342
1523,MILITARY,4.22,71.4,123.8,63.0,FOREST,VERTICAL,VERTICAL,20587.65,True,True,VTOL,0.95,MULTIROTOR,,,,0.0682
1524,TRAINING,9.22,76.3,16.6,60.2,DESERT,RUNWAY,RUNWAY,40470.34,True,True,FIXED_WING,1.0,VTOL,,,,0.1174
1525,MILITARY,15.87,44.8,25.8,60.9,RURAL,RUNWAY,RUNWAY,49196.6,True,True,FIXED_WING,0.85,VTOL,,,,0.0679
1526,DISASTER_RESPONSE,4.28,84.5,66.9,93.8,MOUNTAIN,RUNWAY,NET_RECOVERY,2190.86,True,True,FIXED_WING,1.0,VTOL,,,,0.0644
1527,TRAINING,0.95,11.6,3.4,38.6,INDOOR,VERTICAL,VERTICAL,27487.13,True,True,MULTIROTOR,0.8,None,,,,0.0603
1528,MILITARY,3.24,38.6,7.9,22.8,URBAN,VERTICAL,VERTICAL,69652.94,True,True,MULTIROTOR,0.8,VTOL,,,,0.0622
1529,SECURITY,2.68,19.6,11.4,31.2,URBAN,VERTICAL,VERTICAL,48945.45,True,True,MULTIROTOR,0.8,VTOL,,,,0.0623
1530,SURVEY,0.92,12.2,3.5,27.8,INDOOR,VERTICAL,VERTICAL,49193.6,True,True,MULTIROTOR,0.8,None,,,,0.0589
1531,MILITARY,4.2,104.8,37.8,57.8,FOREST,CATAPULT,PARACHUTE,28348.54,True,True,FIXED_WING,1.0,VTOL,,,,0.0633
1532,INSPECTION,3.84,62.8,67.6,95.2,RURAL,HAND_LAUNCH,NET_RECOVERY,9368.99,True,True,VTOL,0.8,MULTIROTOR,,,,0.0672
1533,MAPPING,6.87,117.3,121.7,64.4,FOREST,VERTICAL,VERTICAL,59171.55,True,True,VTOL,0.95,MULTIROTOR,,,,0.0677
1534,DELIVERY,5.55,99.2,98.0,69.1,MOUNTAIN,VERTICAL,VERTICAL,52973.28,True,True,VTOL,0.95,MULTIROTOR,,,,0.0629
1535,SECURITY,2.45,104.8,109.2,90.5,FOREST,VERTICAL,VERTICAL,66339.02,True,True,VTOL,0.95,MULTIROTOR,,,,0.064
1536,SURVEY,3.0,30.0,20.0,0.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Cruise speed must be greater than 0 km/h. Provided: 0.0 km/h.,0.0087
1537,RESEARCH,4.6,85.1,51.5,86.0,DESERT,RUNWAY,RUNWAY,45774.06,True,True,FIXED_WING,1.0,VTOL,,,,0.0634
1538,INSPECTION,20.78,63.8,36.3,71.4,RURAL,VERTICAL,RUNWAY,75009.11,True,True,VTOL,0.95,MULTIROTOR,,,,0.0635
1539,AGRICULTURE,3.33,17.5,6.9,49.6,RURAL,VERTICAL,VERTICAL,19768.72,True,True,MULTIROTOR,0.8,VTOL,,,,0.0619
1540,MAPPING,1.02,52.2,64.8,91.1,RURAL,RUNWAY,NET_RECOVERY,67363.22,True,True,FIXED_WING,1.0,VTOL,,,,0.0647
1541,SURVEY,3.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,-100.0,False,False,None,,None,,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,0.0086
1542,DELIVERY,2.55,78.2,91.8,115.5,FOREST,VERTICAL,VERTICAL,18317.87,True,True,VTOL,0.95,MULTIROTOR,,,,0.0751
1543,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.0379
1544,RESEARCH,0.57,8.5,3.5,15.4,INDOOR,VERTICAL,VERTICAL,69719.61,True,True,MULTIROTOR,0.8,None,,,,0.0588
1545,RESEARCH,6.52,108.5,92.7,75.6,MARINE,VERTICAL,VERTICAL,75451.95,True,True,VTOL,0.95,MULTIROTOR,,,,0.0633
1546,SURVEY,2.57,94.5,30.3,83.9,RURAL,RUNWAY,RUNWAY,71143.95,True,True,FIXED_WING,1.0,VTOL,,,,0.8654
1547,SECURITY,5.03,75.8,84.5,74.8,MOUNTAIN,VERTICAL,VERTICAL,18433.13,True,True,VTOL,0.95,MULTIROTOR,,,,0.0771
1548,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0391
1549,SURVEY,1.25,22.2,10.2,23.4,URBAN,VERTICAL,VERTICAL,12731.17,True,True,MULTIROTOR,0.8,VTOL,,,,0.0686
1550,DELIVERY,15.09,39.3,64.2,48.7,MOUNTAIN,RUNWAY,VERTICAL,42093.82,True,True,VTOL,0.8,MULTIROTOR,,,,0.0694
1551,INSPECTION,15.51,68.1,68.7,41.6,DESERT,RUNWAY,RUNWAY,60290.76,True,True,VTOL,0.8,MULTIROTOR,,,,0.0678
1552,CUSTOM,1.38,16.0,3.6,19.0,INDOOR,VERTICAL,VERTICAL,74479.1,True,True,MULTIROTOR,0.8,None,,,,0.0589
1553,DISASTER_RESPONSE,1.96,47.0,108.1,63.6,FOREST,RUNWAY,PARACHUTE,51642.18,True,True,FIXED_WING,1.0,VTOL,,,,0.0676
1554,SURVEY,24.54,63.7,51.5,57.0,DESERT,RUNWAY,RUNWAY,15097.25,True,True,FIXED_WING,1.0,VTOL,,,,0.0671
1555,SURVEY,18.0,280.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (18.0 kg) and ultra-long endurance (280.0 min) is physically unachievable.,0.0349
1556,INSPECTION,0.13,16.7,1.6,39.3,INDOOR,VERTICAL,VERTICAL,35206.28,True,True,MULTIROTOR,0.8,None,,,,0.0593
1557,AGRICULTURE,0.76,20.8,3.7,37.1,INDOOR,VERTICAL,VERTICAL,21894.05,True,True,MULTIROTOR,0.8,None,,,,0.0636
1558,MILITARY,3.19,32.9,4.9,23.0,RURAL,VERTICAL,VERTICAL,34749.38,True,True,MULTIROTOR,0.8,VTOL,,,,0.0617
1559,DISASTER_RESPONSE,19.78,74.5,28.9,51.8,RURAL,VERTICAL,VERTICAL,55480.1,True,True,VTOL,0.8,MULTIROTOR,,,,0.0642
1560,SECURITY,20.3,66.3,30.3,83.4,MOUNTAIN,VERTICAL,VERTICAL,41663.45,True,True,VTOL,0.95,MULTIROTOR,,,,0.0636
1561,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.0342
1562,SURVEY,3.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,-100.0,False,False,None,,None,,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,0.0084
1563,INSPECTION,1.4,15.6,9.1,36.3,RURAL,VERTICAL,VERTICAL,49855.2,True,True,MULTIROTOR,0.8,VTOL,,,,0.0724
1564,RESEARCH,3.68,67.0,119.4,101.5,MOUNTAIN,CATAPULT,PARACHUTE,27235.7,True,True,FIXED_WING,1.0,VTOL,,,,0.0687
1565,AGRICULTURE,17.57,61.7,36.2,63.5,RURAL,VERTICAL,VERTICAL,31848.88,True,True,VTOL,0.95,MULTIROTOR,,,,0.0686
1566,DELIVERY,13.04,48.8,56.0,89.4,RURAL,VERTICAL,VERTICAL,52825.4,True,True,VTOL,0.95,MULTIROTOR,,,,0.0672
1567,SURVEY,5.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Maximum takeoff weight limit (3.0 kg) must be greater than payload weight (5.0 kg).,0.0082
1568,SECURITY,0.46,12.1,0.8,30.0,INDOOR,VERTICAL,VERTICAL,62448.03,True,True,MULTIROTOR,0.8,None,,,,0.0595
1569,SECURITY,0.96,22.4,3.5,39.5,INDOOR,VERTICAL,VERTICAL,19267.17,True,True,MULTIROTOR,0.8,None,,,,0.0615
1570,TRAINING,7.87,89.4,37.4,94.7,MOUNTAIN,VERTICAL,VERTICAL,2760.52,True,True,VTOL,0.95,MULTIROTOR,,,,0.0627
1571,SURVEY,2.0,30.0,20.0,350.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,0.0347
1572,RESEARCH,5.6,65.5,81.9,81.8,RURAL,VERTICAL,VERTICAL,56583.51,True,True,VTOL,0.95,MULTIROTOR,,,,0.0628
1573,DISASTER_RESPONSE,8.34,44.8,51.1,60.1,DESERT,RUNWAY,VERTICAL,16039.44,True,True,VTOL,0.8,MULTIROTOR,,,,0.0632
1574,MAPPING,4.23,88.8,141.1,114.9,MARINE,VERTICAL,VERTICAL,74773.94,True,True,VTOL,0.95,MULTIROTOR,,,,0.0635
1575,TRAINING,3.79,111.7,71.2,68.5,FOREST,HAND_LAUNCH,RUNWAY,33407.37,True,True,FIXED_WING,1.0,VTOL,,,,0.0627
1576,AGRICULTURE,2.12,14.7,2.3,44.1,RURAL,VERTICAL,VERTICAL,20268.53,True,True,MULTIROTOR,0.8,VTOL,,,,0.062
1577,SECURITY,0.96,20.4,2.2,14.4,INDOOR,VERTICAL,VERTICAL,33618.2,True,True,MULTIROTOR,0.8,None,,,,0.0591
1578,DISASTER_RESPONSE,11.33,50.1,26.2,54.3,MOUNTAIN,VERTICAL,VERTICAL,27221.31,True,True,VTOL,0.8,MULTIROTOR,,,,0.0626
1579,SURVEY,3.0,30.0,-5.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Target range must be greater than 0 km. Provided: -5.0 km.,0.008
1580,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.0355
1581,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.0334
1582,MILITARY,3.06,129.0,105.9,51.3,FOREST,CATAPULT,PARACHUTE,78761.59,True,True,FIXED_WING,1.0,VTOL,,,,0.0673
1583,AGRICULTURE,2.71,12.4,8.1,45.5,URBAN,VERTICAL,VERTICAL,44429.73,True,True,MULTIROTOR,0.8,VTOL,,,,0.0622
1584,INSPECTION,3.23,22.1,8.5,28.7,RURAL,VERTICAL,VERTICAL,51722.52,True,True,MULTIROTOR,0.8,VTOL,,,,0.0633
1585,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.0339
1586,INSPECTION,2.69,53.5,55.5,65.1,FOREST,HAND_LAUNCH,PARACHUTE,62553.16,True,True,VTOL,0.8,MULTIROTOR,,,,0.0629
1587,RESEARCH,4.87,110.2,64.3,89.0,MOUNTAIN,VERTICAL,VERTICAL,41213.88,True,True,VTOL,0.95,MULTIROTOR,,,,0.0655
1588,DELIVERY,1.5,13.1,9.1,30.1,URBAN,VERTICAL,VERTICAL,41198.35,True,True,MULTIROTOR,0.8,VTOL,,,,0.0662
1589,DISASTER_RESPONSE,9.07,78.5,38.9,70.6,MOUNTAIN,VERTICAL,RUNWAY,18795.38,True,True,VTOL,0.95,MULTIROTOR,,,,0.0634
1590,RESEARCH,4.11,90.8,98.6,107.5,MOUNTAIN,VERTICAL,VERTICAL,31395.23,True,True,VTOL,0.95,MULTIROTOR,,,,0.063
1591,SURVEY,1.97,39.9,4.7,45.0,RURAL,VERTICAL,VERTICAL,27233.67,True,True,MULTIROTOR,0.8,VTOL,,,,0.0705
1592,RESEARCH,22.99,52.4,48.0,57.3,RURAL,RUNWAY,VERTICAL,23100.32,True,True,VTOL,0.8,MULTIROTOR,,,,0.0632
1593,MAPPING,6.94,95.1,116.4,88.8,MOUNTAIN,VERTICAL,VERTICAL,10262.71,True,True,VTOL,0.95,MULTIROTOR,,,,0.0635
1594,MILITARY,3.5,102.8,111.5,51.8,MOUNTAIN,CATAPULT,PARACHUTE,50574.58,True,True,FIXED_WING,1.0,VTOL,,,,0.0646
1595,SECURITY,11.69,36.0,25.6,70.2,MOUNTAIN,RUNWAY,VERTICAL,30829.13,True,True,VTOL,0.8,MULTIROTOR,,,,0.0623
1596,DISASTER_RESPONSE,11.12,63.7,62.9,64.1,DESERT,VERTICAL,RUNWAY,70584.67,True,True,VTOL,0.95,MULTIROTOR,,,,0.0646
1597,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0373
1598,SURVEY,2.0,30.0,500.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,Extended range target (500.0 km) approaches maximum battery energy density threshold.,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,0.0359
1599,DISASTER_RESPONSE,4.44,114.8,92.3,59.7,DESERT,CATAPULT,PARACHUTE,13800.96,True,True,FIXED_WING,1.0,VTOL,,,,0.0677
1600,RESEARCH,0.12,11.5,1.7,32.2,INDOOR,VERTICAL,VERTICAL,23769.17,True,True,MULTIROTOR,0.8,None,,,,0.0643
1601,SECURITY,1.88,39.8,8.9,49.4,URBAN,VERTICAL,VERTICAL,22576.64,True,True,MULTIROTOR,0.8,VTOL,,,,0.0643
1602,CUSTOM,3.24,92.5,46.4,92.4,FOREST,HAND_LAUNCH,PARACHUTE,54213.76,True,True,FIXED_WING,1.0,VTOL,,,,0.0631
1603,RESEARCH,5.99,114.2,141.5,97.9,FOREST,VERTICAL,VERTICAL,19728.86,True,True,VTOL,0.95,MULTIROTOR,,,,0.0657
1604,SECURITY,1.09,7.3,4.3,23.9,INDOOR,VERTICAL,VERTICAL,10056.23,True,True,MULTIROTOR,0.8,None,,,,0.0591
1605,SURVEY,3.89,12.5,11.3,46.2,RURAL,VERTICAL,VERTICAL,44855.82,True,True,MULTIROTOR,0.8,VTOL,,,,0.0617
1606,MAPPING,0.35,21.1,4.7,22.6,INDOOR,VERTICAL,VERTICAL,70437.35,True,True,MULTIROTOR,0.8,None,,,,0.0601
1607,RESEARCH,19.49,40.4,51.7,61.5,MOUNTAIN,VERTICAL,RUNWAY,8396.65,True,True,VTOL,0.95,MULTIROTOR,,,,0.0644
1608,TRAINING,1.32,143.7,73.0,95.8,RURAL,HAND_LAUNCH,BELLY_LANDING,51760.34,True,True,FIXED_WING,1.0,VTOL,,,,0.0674
1609,SURVEY,18.0,280.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (18.0 kg) and ultra-long endurance (280.0 min) is physically unachievable.,0.0375
1610,SURVEY,2.0,30.0,500.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,Extended range target (500.0 km) approaches maximum battery energy density threshold.,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,0.0344
1611,SECURITY,4.41,77.5,107.1,65.8,DESERT,CATAPULT,RUNWAY,40079.01,True,True,FIXED_WING,1.0,VTOL,,,,0.0635
1612,TRAINING,1.1,17.9,4.2,50.0,RURAL,VERTICAL,VERTICAL,74749.33,True,True,MULTIROTOR,0.8,VTOL,,,,0.062
1613,DISASTER_RESPONSE,3.66,35.3,3.4,27.9,RURAL,VERTICAL,VERTICAL,12877.04,True,True,MULTIROTOR,0.8,VTOL,,,,0.0638
1614,TRAINING,20.69,27.1,40.8,63.0,MOUNTAIN,RUNWAY,VERTICAL,56339.37,True,True,VTOL,0.8,MULTIROTOR,,,,0.0658
1615,INSPECTION,1.06,15.5,2.8,38.0,INDOOR,VERTICAL,VERTICAL,31711.21,True,True,MULTIROTOR,0.8,None,,,,0.0816
1616,RESEARCH,1.91,87.4,93.7,81.8,FOREST,HAND_LAUNCH,RUNWAY,63640.09,True,True,FIXED_WING,1.0,VTOL,,,,0.0705
1617,DISASTER_RESPONSE,1.44,10.4,1.5,39.4,INDOOR,VERTICAL,VERTICAL,37709.69,True,True,MULTIROTOR,0.8,None,,,,0.0593
1618,SURVEY,3.0,-10.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Target flight time must be greater than 0 minutes. Provided: -10.0 min.,0.008
1619,SURVEY,3.0,30.0,-5.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Target range must be greater than 0 km. Provided: -5.0 km.,0.0167
1620,MILITARY,7.19,49.9,50.9,117.0,RURAL,VERTICAL,VERTICAL,7488.86,True,True,VTOL,0.95,MULTIROTOR,,,,0.064
1621,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.0336
1622,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.1307
1623,MILITARY,8.03,54.0,31.4,48.8,MOUNTAIN,RUNWAY,VERTICAL,71893.71,True,True,VTOL,0.8,MULTIROTOR,,,,0.0688
1624,AGRICULTURE,7.71,99.5,69.7,65.0,MARINE,VERTICAL,VERTICAL,11731.77,True,True,VTOL,0.95,MULTIROTOR,,,,0.0662
1625,AGRICULTURE,1.01,36.4,5.0,46.9,RURAL,VERTICAL,VERTICAL,78956.73,True,True,MULTIROTOR,0.8,VTOL,,,,0.0617
1626,SURVEY,0.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Payload weight must be greater than 0 kg. Provided: 0.0 kg.,0.008
1627,SECURITY,10.76,53.0,65.3,75.6,RURAL,RUNWAY,RUNWAY,3507.31,True,True,FIXED_WING,1.0,VTOL,,,,0.063
1628,TRAINING,18.44,79.5,15.4,46.2,DESERT,RUNWAY,RUNWAY,57751.19,True,True,FIXED_WING,1.0,VTOL,,,,0.0641
1629,DELIVERY,3.22,74.6,87.0,89.3,FOREST,CATAPULT,NET_RECOVERY,2534.56,True,True,FIXED_WING,1.0,VTOL,,,,0.0689
1630,TRAINING,1.09,21.7,3.4,36.1,INDOOR,VERTICAL,VERTICAL,4135.22,True,True,MULTIROTOR,0.8,None,,,,0.0639
1631,SURVEY,2.0,30.0,20.0,350.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,0.0339
1632,RESEARCH,0.65,16.6,3.7,15.2,INDOOR,VERTICAL,VERTICAL,68180.11,True,True,MULTIROTOR,0.8,None,,,,0.0585
