case_id,phase5c_status,phase5c_forensic_classification,phase5d_status,status_changed,change_expected,old_failure_stage,new_failure_stage,old_configuration,new_configuration,old_mtow,new_mtow,old_wingspan,new_wingspan,old_aspect_ratio,new_aspect_ratio,old_motor,new_motor,old_propeller,new_propeller,old_cg_percent_mac,new_cg_percent_mac,old_static_margin,new_static_margin,battery_position_valid,final_engineering_assessment
FW-066,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,4.583,3.65,8.2,5.2,None,DLE 55cc,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-067,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,4.376,3.485,8.2,5.2,None,DLE 55cc,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-068,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,4.26,3.392,8.2,5.2,None,DLE 55cc,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-069,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.998,3.184,8.2,5.2,None,DLE 55cc,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-070,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.072,2.446,8.2,5.2,None,DLE 20cc,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-071,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,4.073,3.244,8.2,5.2,None,DLE 55cc,None,18x10 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-072,INVALID_REQUIREMENTS,true physical/mission infeasibility,INVALID_REQUIREMENTS,NO,YES,Input Validation,INVALID_REQUIREMENTS,None,None,N/A,N/A,N/A,N/A,N/A,N/A,None,None,None,None,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-073,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.087,2.458,8.2,5.2,None,DLE 35cc,None,10x7 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-074,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.578,2.849,8.2,5.2,None,DLE 35cc,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-075,INVALID_REQUIREMENTS,true physical/mission infeasibility,INVALID_REQUIREMENTS,NO,YES,Input Validation,INVALID_REQUIREMENTS,None,None,N/A,N/A,N/A,N/A,N/A,N/A,None,None,None,None,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-076,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.374,2.687,8.2,5.2,None,DLE 35cc,None,13x8 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-077,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.805,3.03,8.2,5.2,None,DLE 55cc,None,14x10 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-078,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,4.714,3.754,8.2,5.2,None,DLE 55cc,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-079,VERIFICATION_FAILED,verification-threshold false rejection,STABILITY_INFEASIBLE,YES,YES,Verification Sizing,STABILITY_INFEASIBLE,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,20.171,20.172,3.486,3.486,8.2,8.2,None,DLE 35cc,None,15x10 APC,N/A,-38.38,37.4,80.4,YES,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-080,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.463,2.758,8.2,5.2,None,DLE 35cc,None,14x10 APC,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-081,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,3.135,2.479,16.0,10.0,None,T-Motor AT3520,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-082,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,1.485,1.228,9.5,6.5,None,SunnySky X2216,None,12x6 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-083,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,3.04,2.569,10.5,7.5,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-084,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,3.788,2.994,16.0,10.0,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-085,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,2.854,2.361,9.5,6.5,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-086,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,1.697,1.342,16.0,10.0,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-087,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.41,1.192,10.5,7.5,None,SunnySky X2216,None,12x6 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-088,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.691,N/A,10.0,None,T-Motor AT3520,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-089,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,1.054,0.872,9.5,6.5,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-090,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,1.369,N/A,10.0,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-091,INVALID_REQUIREMENTS,true physical/mission infeasibility,INVALID_REQUIREMENTS,NO,YES,Input Validation,INVALID_REQUIREMENTS,None,None,N/A,N/A,N/A,N/A,N/A,N/A,None,None,None,None,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-092,PROPULSION_INFEASIBLE,catalog limitation,PROPULSION_INFEASIBLE,NO,YES,Propulsion Sizing,PROPULSION_INFEASIBLE,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,6.169,4.912,8.2,5.2,None,None,None,None,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-093,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,1.328,1.099,9.5,6.5,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-094,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,1.669,N/A,10.0,None,SunnySky X2216,None,14x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-095,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,1.927,N/A,10.0,None,T-Motor MN5008,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-096,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,N/A,N/A,3.901,3.107,8.2,5.2,None,DLE 35cc,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-097,SUCCESS,successful valid,SUCCESS,NO,YES,None,None,High-Wing Conventional Research UAV,High Wing / Tractor,16.222,15.21,3.362,3.256,9.5,9.5,None,T-Motor AT4120,None,22x12 APC,N/A,23.94,18.0,18.0,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-098,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.396,1.18,10.5,7.5,None,SunnySky X2216,None,12x6 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-099,VERIFICATION_FAILED,verification-threshold false rejection,STABILITY_INFEASIBLE,YES,YES,Verification Sizing,STABILITY_INFEASIBLE,Twin-Engine High-Wing Cargo Transport,High Wing / Twin Tractor,20.92,20.92,3.569,3.569,8.2,8.2,None,DLE 35cc,None,16x8 APC,N/A,-51.35,61.4,93.3,YES,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-100,SUCCESS,successful valid,SUCCESS,NO,YES,None,None,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,13.679,12.421,3.246,3.107,10.5,10.5,None,T-Motor AT4120,None,22x12 APC,N/A,24.21,18.0,17.9,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
