case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,perf_cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-032,INSPECTION,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 21: Calculated takeoff weight (25.42 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,1.55,30.3,149.1,95.5,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,3.875,24.587,0.15,13.936,0.567,9.556,0.685,0.26,10.501,14.086,2787.2,200.0,0.85,1.8039,4.247,10.0,0.541,0.0,0.36,0.0,0.0,2.5,13.47,MH 32,1.298,3.185,0.382,0.467,8.34,0.1148,0.795,0.1052,0.513,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,19.8,95.29,985.6,3400,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,1.218,17.7,1.268,31.57,11.0,48.0,95.5,162.3,6.24,37.21,8.15,237.32,149.1,12.03,21,0.037639,False,,,,,,1,0,HIGH,
FW-033,SURVEY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 8: Calculated takeoff weight (25.95 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,1.02,36.8,164.2,106.2,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,2.55,21.809,0.51,13.251,0.608,7.103,0.685,0.26,8.048,13.761,2650.2,200.0,0.85,1.5271,3.384,7.5,0.602,0.301,0.468,0.5,0.0,3.0,13.47,Clark Y,1.613,2.538,0.381,0.465,6.66,0.1759,0.89,0.1018,0.451,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,17.65,70.59,976.6,3400,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.943,2.99,1.019,19.23,18.0,48.4,106.2,181.1,7.12,22.23,6.98,290.63,164.2,11.43,8,0.221322,False,,,,,,1,0,HIGH,
FW-034,INSPECTION,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (110.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.62,110.9,152.5,104.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3007,1.734,10.0,0.221,0.0,0.147,0.0,0.0,2.5,13.47,MH 32,1.12,1.301,0.156,0.191,8.34,0.0192,0.325,0.0175,0.209,,SunnySky X2216,15x10 APC,Generic ESC,1,3.15,15.89,171.5,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-035,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (108.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.12,108.7,176.5,100.0,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3935,1.984,10.0,0.253,0.0,0.168,0.0,0.0,2.5,13.47,MH 32,1.134,1.488,0.179,0.218,8.31,0.0251,0.372,0.023,0.24,,T-Motor MN5008,16x8 APC,Generic ESC,1,4.13,20.79,215.0,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-036,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (113.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.66,113.8,153.3,104.6,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3082,1.755,10.0,0.224,0.0,0.149,0.0,0.0,2.5,13.47,MH 32,1.122,1.317,0.158,0.193,8.34,0.0196,0.328,0.018,0.212,,SunnySky X2216,15x10 APC,Generic ESC,1,3.23,14.24,176.1,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-037,INSPECTION,SUCCESS,VERIFIED,,2.72,50.0,155.2,88.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,6.8,20.551,0.15,10.245,0.499,9.211,0.685,0.26,10.156,10.395,2049.0,200.0,0.85,1.5062,4.592,14.0,0.418,0.0,0.278,0.0,0.0,2.5,13.47,Clark Y,1.416,3.444,0.413,0.505,8.34,0.0685,0.614,0.0879,0.469,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,14.46,79.57,666.0,3400,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,1.273,23.92,1.312,37.93,11.1,45.0,88.4,170.2,7.95,29.84,7.58,228.65,155.19,13.74,27,0.009825,True,Compliant,Compliant,Compliant,Compliant,Compliant,2,0,NORMAL,
FW-038,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.64 kg.",1.56,36.2,149.4,84.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2896,1.372,6.5,0.281,0.141,0.219,0.5,0.0,3.0,13.47,NACA 4412,1.368,1.029,0.142,0.174,7.25,0.0385,0.416,0.0193,0.196,,SunnySky X2216,13x8 APC,Generic ESC,1,3.47,13.39,151.9,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-039,INSPECTION,INVALID_REQUIREMENTS,N/A,Mission processing failed: Mission range (118.5 km) is physically inconsistent with cruise speed (93.9 km/h) and flight time (50.2 min). Max theoretical range is 78.6 km.,2.16,118.5,50.2,93.9,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,Generic ESC,1,,,,,,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,0,,False,,,,,,0,0,HIGH,
FW-040,SECURITY,SUCCESS,VERIFIED,,2.8,47.1,51.0,87.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,7.0,4.822,0.15,0.832,0.172,3.375,0.205,0.26,3.84,0.982,166.4,200.0,0.85,0.362,2.251,14.0,0.205,0.0,0.137,0.0,0.0,2.5,13.47,Clark Y,1.278,1.688,0.203,0.248,8.32,0.0165,0.301,0.0211,0.23,,T-Motor MN5008,18x10 APC,Generic ESC,1,3.49,16.73,159.0,700,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.632,29.89,0.649,42.34,12.3,46.8,87.4,161.6,6.8,25.97,8.22,74.31,51.02,13.73,10,0.008245,True,Compliant,Compliant,Compliant,Compliant,Compliant,2,0,NORMAL,
FW-041,INSPECTION,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (89.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.25,89.7,61.8,106.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.4177,2.044,10.0,0.26,0.0,0.173,0.0,0.0,2.5,13.47,MH 32,1.149,1.533,0.184,0.225,8.33,0.0266,0.382,0.0244,0.247,,T-Motor MN5008,16x8 APC,Generic ESC,1,4.38,19.31,241.9,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-042,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (89.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.38,89.8,96.2,99.9,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2562,1.601,10.0,0.204,0.0,0.136,0.0,0.0,2.5,13.47,MH 32,1.104,1.2,0.144,0.176,8.33,0.0163,0.299,0.0149,0.193,,SunnySky X2216,13x8 APC,Generic ESC,1,2.69,11.84,139.8,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-043,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (100.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.42,100.7,126.9,82.9,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2636,1.309,6.5,0.269,0.134,0.209,0.5,0.0,3.0,13.47,NACA 4412,1.358,0.982,0.136,0.166,7.22,0.0351,0.397,0.0176,0.188,,SunnySky X2216,13x8 APC,Generic ESC,1,3.16,12.18,136.4,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-044,INSPECTION,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (96.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.92,96.2,133.9,81.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.542,2.328,10.0,0.296,0.0,0.198,0.0,0.0,2.5,13.47,MH 32,1.127,1.746,0.21,0.256,8.31,0.0345,0.436,0.0316,0.281,,T-Motor MN5008,20x10 APC,Generic ESC,1,5.68,28.64,241.0,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-045,SURVEY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 10: Calculated takeoff weight (26.31 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,1.29,34.2,177.8,94.5,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,3.225,23.488,0.51,13.918,0.593,8.115,0.685,0.26,9.06,14.428,2783.6,200.0,0.85,1.6783,3.548,7.5,0.631,0.315,0.491,0.5,0.0,3.0,13.47,Clark Y,1.581,2.661,0.399,0.488,6.67,0.1934,0.933,0.1119,0.473,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,17.93,77.58,883.2,3400,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,1.026,10.68,1.109,27.6,18.1,46.3,94.5,171.2,6.67,26.76,7.03,280.03,177.8,12.36,10,0.133143,False,,,,,,1,0,HIGH,
FW-046,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (109.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.54,109.9,86.6,114.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.8428,2.903,10.0,0.37,0.0,0.246,0.0,0.0,2.5,13.47,MH 32,1.24,2.177,0.261,0.319,8.34,0.0536,0.543,0.0492,0.351,,T-Motor AT4120,22x12 APC,Generic ESC,1,8.83,38.96,526.7,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-047,MILITARY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 5: Calculated takeoff weight (27.06 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,5.07,57.5,104.9,122.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,12.675,23.952,0.15,14.347,0.599,8.51,0.685,0.26,9.455,14.497,2869.4,200.0,0.85,1.7081,4.133,10.0,0.526,0.0,0.351,0.0,0.0,2.5,13.47,MH 32,1.377,3.1,0.372,0.455,8.33,0.1087,0.773,0.0996,0.499,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,25.04,78.95,1597.1,3400,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,1.131,2.11,1.19,18.93,18.0,49.9,122.4,170.6,5.94,30.8,7.87,213.99,104.9,9.01,5,0.141195,False,,,,,,1,0,HIGH,
FW-048,MILITARY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (192.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,5.38,192.5,220.5,110.6,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.9987,3.16,10.0,0.402,0.0,0.268,0.0,0.0,2.5,13.47,MH 32,1.253,2.37,0.284,0.348,8.35,0.0636,0.591,0.0583,0.382,,T-Motor AT4120,22x12 APC,Generic ESC,1,10.47,46.16,603.4,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-049,MILITARY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (87.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.04,87.1,174.8,118.3,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.75,2.739,10.0,0.349,0.0,0.233,0.0,0.0,2.5,13.47,MH 32,1.233,2.054,0.246,0.301,8.35,0.0478,0.513,0.0438,0.331,,T-Motor AT3520,22x12 APC,Generic ESC,1,7.86,34.67,484.6,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-050,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (100.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,3.94,100.4,220.7,84.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.7314,2.18,6.5,0.447,0.224,0.348,0.5,0.0,3.0,13.47,NACA 4412,1.474,1.635,0.226,0.277,7.23,0.0973,0.662,0.0488,0.312,,T-Motor AT3520,20x10 APC,Generic ESC,1,8.76,33.81,383.6,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-051,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (111.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,3.26,111.1,157.7,100.8,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.6052,1.983,6.5,0.407,0.203,0.316,0.5,0.0,3.0,13.47,NACA 4412,1.5,1.487,0.206,0.252,7.22,0.0805,0.602,0.0403,0.284,,T-Motor AT3520,18x10 APC,Generic ESC,1,7.25,27.97,380.8,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-052,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (178.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,5.78,178.5,197.8,99.0,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,1.073,3.276,10.0,0.417,0.0,0.278,0.0,0.0,2.5,13.47,MH 32,1.234,2.457,0.295,0.36,8.33,0.0683,0.613,0.0626,0.396,,T-Motor AT4120,22x12 APC,Generic ESC,1,11.25,49.6,580.3,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-053,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,6.81,112.9,194.6,107.3,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,1.2642,2.866,6.5,0.588,0.294,0.457,0.5,0.0,3.0,13.47,NACA 4412,1.666,2.15,0.298,0.364,7.21,0.1681,0.87,0.0843,0.411,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,15.14,58.44,846.8,3400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-054,MILITARY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (150.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.56,150.3,203.7,116.2,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.8465,2.909,10.0,0.37,0.0,0.247,0.0,0.0,2.5,13.47,MH 32,1.244,2.182,0.262,0.32,8.33,0.0539,0.544,0.0494,0.351,,T-Motor AT4120,22x12 APC,Generic ESC,1,8.87,39.13,537.3,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-055,MILITARY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (149.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,5.37,149.4,75.1,101.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.9968,3.157,10.0,0.402,0.0,0.268,0.0,0.0,2.5,13.47,MH 32,1.23,2.368,0.284,0.347,8.34,0.0635,0.591,0.0582,0.381,,T-Motor AT4120,22x12 APC,Generic ESC,1,10.45,46.08,552.2,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-056,MILITARY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (100.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.82,100.6,218.3,93.9,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.8948,2.991,10.0,0.381,0.0,0.254,0.0,0.0,2.5,13.47,MH 32,1.199,2.243,0.269,0.329,8.34,0.057,0.56,0.0522,0.361,,T-Motor AT4120,22x12 APC,Generic ESC,1,9.38,41.36,459.0,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-057,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (192.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,3.21,192.8,100.4,83.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.5959,2.441,10.0,0.311,0.0,0.207,0.0,0.0,2.5,13.47,MH 32,1.138,1.831,0.22,0.269,8.32,0.0379,0.457,0.0348,0.295,,T-Motor AT3520,20x10 APC,Generic ESC,1,6.25,27.54,271.5,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-058,RESEARCH,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 3: Calculated takeoff weight (26.12 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,3.61,68.9,180.5,108.2,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,9.025,19.717,1.95,11.346,0.575,5.786,0.375,0.26,6.421,13.296,2269.2,200.0,0.85,1.3461,2.958,6.5,0.607,0.303,0.472,0.5,0.0,3.0,13.47,NACA 4412,1.686,2.219,0.307,0.375,7.23,0.1789,0.897,0.0897,0.424,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,15.23,62.22,859.0,3400,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,0.809,-4.03,0.881,11.23,18.0,50.9,108.2,145.5,2.47,30.81,6.81,325.51,180.5,11.67,3,0.356563,False,,,,,,1,0,HIGH,
FW-059,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (194.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,5.42,194.6,189.3,118.9,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,1.0061,2.557,6.5,0.525,0.262,0.408,0.5,0.0,3.0,13.47,NACA 4412,1.661,1.918,0.266,0.325,7.21,0.1338,0.776,0.0671,0.366,,T-Motor AT4120,22x12 APC,Generic ESC,1,12.05,46.51,746.9,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-060,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (186.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,5.3,186.2,127.6,127.1,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.9839,2.529,6.5,0.519,0.259,0.404,0.5,0.0,3.0,13.47,NACA 4412,1.688,1.897,0.263,0.321,7.21,0.1309,0.767,0.0656,0.362,,T-Motor AT4120,22x12 APC,Generic ESC,1,11.79,45.48,780.7,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-061,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (165.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,3.41,165.9,213.1,110.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.633,2.516,10.0,0.32,0.0,0.214,0.0,0.0,2.5,13.47,MH 32,1.196,1.887,0.226,0.277,8.35,0.0403,0.471,0.0369,0.304,,T-Motor AT3520,20x10 APC,Generic ESC,1,6.64,29.26,380.4,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-062,MILITARY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (147.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,3.28,147.1,62.3,101.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.6089,2.467,10.0,0.314,0.0,0.209,0.0,0.0,2.5,13.47,MH 32,1.174,1.851,0.222,0.271,8.34,0.0388,0.462,0.0355,0.298,,T-Motor AT3520,20x10 APC,Generic ESC,1,6.38,28.15,335.9,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-063,DISASTER_RESPONSE,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (156.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,6.31,156.1,138.4,116.7,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,1.1713,2.964,7.5,0.527,0.264,0.41,0.5,0.0,3.0,13.47,Clark Y,1.595,2.223,0.333,0.408,6.68,0.135,0.779,0.0781,0.395,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,13.48,54.14,819.9,3400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-064,MILITARY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (177.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.07,177.8,209.5,84.3,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.7555,2.749,10.0,0.35,0.0,0.233,0.0,0.0,2.5,13.47,MH 32,1.16,2.062,0.247,0.302,8.35,0.0481,0.514,0.0441,0.332,,T-Motor AT3520,22x12 APC,Generic ESC,1,7.92,34.92,347.9,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-065,DISASTER_RESPONSE,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (124.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.35,124.1,118.5,104.4,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.8075,2.461,7.5,0.438,0.219,0.34,0.5,0.0,3.0,13.47,Clark Y,1.48,1.846,0.277,0.338,6.66,0.093,0.647,0.0538,0.328,,T-Motor U8 Lite,22x12 APC,Generic ESC,1,9.29,37.33,505.7,1000,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
