case_id,mission_category,payload_kg,range_km,endurance_min,cruise_speed_kmh,final_status,failure_category,exact_failure_message,stage_failed,engine_failed,validator_failed,last_successful_stage,configuration_selected,wing_position,propulsion_layout,tail_configuration,landing_gear,mtow_at_failure_kg,wing_area_at_failure_m2,wingspan_at_failure_m,aspect_ratio_at_failure,airfoil_at_failure,required_thrust_n,available_thrust_n,required_power_w,available_power_w,required_range_km,available_communication_range_km,required_stall_margin,actual_stall_margin,static_margin_percent,convergence_delta,forensic_classification,forensic_confidence,root_cause,recommended_action
FW-038,RESEARCH,1.56,36.2,149.4,84.0,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.64 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.2896,1.659,9.5,NACA 4412,,,,,36.2,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.64 kg..",Update component database records with missing classes.
FW-039,INSPECTION,2.16,118.5,50.2,93.9,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Mission range (118.5 km) is physically inconsistent with cruise speed (93.9 km/h) and flight time (50.2 min). Max theoretical range is 78.6 km.,Input Validation,Pipeline Orchestrator,None,None,,,,,,,,,,,,,,,118.5,,,,,,TRUE_MISSION_INFEASIBILITY,High,Contradictory inputs: requested mission range exceeds the maximum theoretical range achievable at requested cruise speed and endurance.,"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-040,SECURITY,2.8,47.1,51.0,87.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.5198,2.884,16.0,Clark Y,,,,,47.1,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-041,INSPECTION,2.25,89.7,61.8,106.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.23 m) exceeds wing root chord (0.21 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.4177,2.585,16.0,Clark Y,,,,,89.7,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-042,SECURITY,1.38,89.8,96.2,99.9,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.18 m) exceeds wing root chord (0.16 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.2562,2.025,16.0,Clark Y,,,,,89.8,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-043,RESEARCH,1.42,100.7,126.9,82.9,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.49 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.2636,1.583,9.5,NACA 4412,,,,,100.7,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.49 kg..",Update component database records with missing classes.
FW-044,INSPECTION,2.92,96.2,133.9,81.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.27 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.542,2.945,16.0,Clark Y,,,,,96.2,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-045,SURVEY,1.29,34.2,177.8,94.5,SUCCESS,SUCCESS,,None,None,None,Verification Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Tricycle,8.984,0.6657,2.58,10.0,Clark Y,30.77,35.55,747.5,950.0,34.2,50.0,1.2,1.491,39.5,0.00212,SUCCESS_SUSPICIOUS,High,Aircraft balances mathematically but features physical anomalies: Mass conservation discrepancy of 0.8530 kg,Modify fuselage bay allocation logic to check volumetric fit and restrict battery CG movement during sizing.
FW-046,SECURITY,4.54,109.9,86.6,114.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.33 m) exceeds wing root chord (0.29 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.8428,3.672,16.0,Clark Y,,,,,109.9,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-047,MILITARY,5.07,57.5,104.9,122.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.35 m) exceeds wing root chord (0.31 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.9412,3.881,16.0,Clark Y,,,,,57.5,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-048,MILITARY,5.38,192.5,220.5,110.6,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.36 m) exceeds wing root chord (0.32 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.9987,3.997,16.0,Clark Y,,,,,192.5,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-049,MILITARY,4.04,87.1,174.8,118.3,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.31 m) exceeds wing root chord (0.28 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.75,3.464,16.0,Clark Y,,,,,87.1,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-050,RESEARCH,3.94,100.4,220.7,84.0,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (100.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.7314,2.636,9.5,NACA 4412,33.81,56.43,881.3,950,100.4,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (100.4 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-051,RESEARCH,3.26,111.1,157.7,100.8,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (111.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.6052,2.398,9.5,NACA 4412,27.98,56.43,729.2,950,111.1,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (111.1 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-052,SECURITY,5.78,178.5,197.8,99.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.37 m) exceeds wing root chord (0.33 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,1.073,4.143,16.0,Clark Y,,,,,178.5,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-053,RESEARCH,6.81,112.9,194.6,107.3,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,1.2642,3.466,9.5,NACA 4412,58.44,132.04,1523.3,3400,112.9,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (112.9 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-054,MILITARY,4.56,150.3,203.7,116.2,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.33 m) exceeds wing root chord (0.29 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.8465,3.68,16.0,Clark Y,,,,,150.3,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-055,MILITARY,5.37,149.4,75.1,101.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.36 m) exceeds wing root chord (0.32 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.9968,3.994,16.0,Clark Y,,,,,149.4,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-056,MILITARY,4.82,100.6,218.3,93.9,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.34 m) exceeds wing root chord (0.30 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.8948,3.784,16.0,Clark Y,,,,,100.6,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-057,SECURITY,3.21,192.8,100.4,83.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.28 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.5959,3.088,16.0,Clark Y,,,,,192.8,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-058,RESEARCH,3.61,68.9,180.5,108.2,NON_CONVERGED,NON_CONVERGED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,None,None,None,None,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,14.954,0.6701,2.523,9.5,NACA 4412,30.98,56.43,807.4,950,68.9,80.0,1.3,1.918,18.0,,TRUE_PROPULSION_INFEASIBILITY,High,Propulsion optimizer failed to select a motor-propeller pair satisfying thrust and electrical constraints.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
FW-059,RESEARCH,5.42,194.6,189.3,118.9,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (194.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,1.0061,3.092,9.5,NACA 4412,46.51,73.08,1212.3,1400,194.6,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (194.6 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-060,RESEARCH,5.3,186.2,127.6,127.1,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (186.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.9839,3.057,9.5,NACA 4412,45.48,73.08,1185.5,1400,186.2,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (186.2 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-061,SECURITY,3.41,165.9,213.1,110.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.29 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.633,3.183,16.0,Clark Y,,,,,165.9,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-062,MILITARY,3.28,147.1,62.3,101.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.28 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.6089,3.121,16.0,Clark Y,,,,,147.1,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-063,DISASTER_RESPONSE,6.31,156.1,138.4,116.7,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (156.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,,1.1713,3.507,10.5,Clark Y,54.14,73.08,1397.4,1400,156.1,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (156.1 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-064,MILITARY,4.07,177.8,209.5,84.3,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.31 m) exceeds wing root chord (0.28 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.7555,3.477,16.0,Clark Y,,,,,177.8,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-065,DISASTER_RESPONSE,4.35,124.1,118.5,104.4,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (124.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,,0.8075,2.912,10.5,Clark Y,37.33,58.39,963.4,1000,124.1,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (124.1 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-066,DELIVERY,13.8,96.7,114.7,79.6,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (96.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,2.5617,4.583,8.2,Selig S1223,118.41,149.62,3129.6,4101.4,96.7,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (96.7 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-067,DELIVERY,12.58,112.9,132.2,94.5,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,2.3353,4.376,8.2,Selig S1223,107.95,149.62,2853.0,4101.4,112.9,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (112.9 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-068,DELIVERY,11.92,66.7,123.5,93.7,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (40.16 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,Mass Sizing,MassPropertiesEngine,MassValidator,Payload Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,2.2127,4.26,8.2,Selig S1223,102.28,140.41,2703.2,4101.4,66.7,80.0,,,,,TRUE_MTOW_LIMIT,High,Calculated takeoff weight (40.16 kg) exceeds project-wide 25.0 kg maximum takeoff weight limit (EXTREME_EXCEEDANCE).,"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-069,DELIVERY,10.5,72.2,106.3,85.3,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (32.64 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,Mass Sizing,MassPropertiesEngine,MassValidator,Payload Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.9491,3.998,8.2,Selig S1223,90.1,123.01,2381.2,3057.4,72.2,80.0,,,,,TRUE_MTOW_LIMIT,High,Calculated takeoff weight (32.64 kg) exceeds project-wide 25.0 kg maximum takeoff weight limit (MODERATE_EXCEEDANCE).,"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-070,DELIVERY,6.2,94.3,147.9,79.3,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (94.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.1509,3.072,8.2,Selig S1223,53.2,75.3,1406.0,1789.7,94.3,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (94.3 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-071,DELIVERY,10.9,121.2,125.6,119.0,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (121.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,2.0234,4.073,8.2,Selig S1223,93.53,130.89,2471.9,4101.4,121.2,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (121.2 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-072,DELIVERY,8.02,115.0,62.1,72.3,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Mission range (115.0 km) is physically inconsistent with cruise speed (72.3 km/h) and flight time (62.1 min). Max theoretical range is 74.8 km.,Input Validation,Pipeline Orchestrator,None,None,,,,,,,,,,,,,,,115.0,,,,,,TRUE_MISSION_INFEASIBILITY,High,Contradictory inputs: requested mission range exceeds the maximum theoretical range achievable at requested cruise speed and endurance.,"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-073,DELIVERY,6.26,134.2,111.3,113.6,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (134.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.1621,3.087,8.2,Selig S1223,53.72,72.72,1419.7,3057.4,134.2,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (134.2 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-074,DELIVERY,8.41,145.9,79.1,113.1,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (145.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.5612,3.578,8.2,Selig S1223,72.17,99.48,1907.3,3057.4,145.9,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (145.9 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-075,DELIVERY,5.74,105.5,52.2,77.5,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Mission range (105.5 km) is physically inconsistent with cruise speed (77.5 km/h) and flight time (52.2 min). Max theoretical range is 67.4 km.,Input Validation,Pipeline Orchestrator,None,None,,,,,,,,,,,,,,,105.5,,,,,,TRUE_MISSION_INFEASIBILITY,High,Contradictory inputs: requested mission range exceeds the maximum theoretical range achievable at requested cruise speed and endurance.,"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-076,DELIVERY,7.48,97.0,101.2,99.8,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (97.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.3885,3.374,8.2,Selig S1223,64.18,86.62,1696.3,3057.4,97.0,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (97.0 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-077,DELIVERY,9.51,83.1,161.1,119.5,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (83.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.7654,3.805,8.2,Selig S1223,81.6,110.69,2156.7,4101.4,83.1,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (83.1 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
