Case ID,Mission Type,Payload Weight (kg),Range (km),Endurance (min),Cruise Speed (km/h),Takeoff Type,Landing Type,Operating Environment,Budget,Selected Vehicle Family,Selection Success,Selection Score,Primary Candidate,Alternative Candidate 1,Alternative Candidate 1 Score,Alternative Candidate 2,Alternative Candidate 2 Score,Candidate Ranking,Selection Reason,Status,Failure Category,Failure Reason,Warnings
820,TRAINING,4.24,68.8,68.1,95.5,RUNWAY,NET_RECOVERY,DESERT,21553.07,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the TRAINING mission because it optimally satisfies the 4.24 kg payload, 68.8 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
821,MAPPING,7.68,85.7,58.4,80.8,VERTICAL,VERTICAL,MARINE,56778.9,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the MAPPING mission because it optimally satisfies the 7.68 kg payload, 85.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
822,DISASTER_RESPONSE,3.44,14.0,15.3,45.5,VERTICAL,VERTICAL,RURAL,39356.67,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 3.44 kg payload, 14.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
823,DELIVERY,3.88,87.6,108.8,78.2,HAND_LAUNCH,PARACHUTE,RURAL,55961.16,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the DELIVERY mission because it optimally satisfies the 3.88 kg payload, 87.6 km range, and HAND_LAUNCH takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
824,SURVEY,0.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,10000.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Payload weight must be greater than 0 kg. Provided: 0.0 kg.,
825,CUSTOM,11.9,10.3,61.0,61.1,RUNWAY,RUNWAY,MOUNTAIN,37916.18,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.5,MULTIROTOR,0.4,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the CUSTOM mission because it optimally satisfies the 11.9 kg payload, 10.3 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
826,SURVEY,0.31,3.9,6.5,28.8,VERTICAL,VERTICAL,INDOOR,65771.21,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the SURVEY mission because it optimally satisfies the 0.31 kg payload, 3.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
827,MILITARY,7.1,69.0,81.2,95.0,VERTICAL,VERTICAL,FOREST,74404.92,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the MILITARY mission because it optimally satisfies the 7.1 kg payload, 69.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
828,MILITARY,0.75,0.7,6.6,19.8,VERTICAL,VERTICAL,INDOOR,42898.7,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the MILITARY mission because it optimally satisfies the 0.75 kg payload, 0.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
829,SURVEY,4.64,107.5,103.1,88.2,VERTICAL,VERTICAL,MARINE,4049.67,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 4.64 kg payload, 107.5 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
830,SECURITY,18.62,77.7,42.0,78.2,VERTICAL,VERTICAL,MOUNTAIN,33314.51,VTOL,True,0.95,VTOL,MULTIROTOR,0.15,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SECURITY mission because it optimally satisfies the 18.62 kg payload, 77.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
831,SURVEY,25.0,250.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,
832,TRAINING,1.18,3.0,13.0,16.9,VERTICAL,VERTICAL,INDOOR,17112.05,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the TRAINING mission because it optimally satisfies the 1.18 kg payload, 3.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
833,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
834,CUSTOM,0.46,4.9,9.1,35.7,VERTICAL,VERTICAL,INDOOR,74036.42,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the CUSTOM mission because it optimally satisfies the 0.46 kg payload, 4.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
835,DISASTER_RESPONSE,1.04,1.4,15.2,19.6,VERTICAL,VERTICAL,INDOOR,61993.03,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 1.04 kg payload, 1.4 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
836,SURVEY,15.78,58.8,62.3,54.4,VERTICAL,VERTICAL,DESERT,5260.51,VTOL,True,0.95,VTOL,MULTIROTOR,0.0,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 15.78 kg payload, 58.8 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
837,SURVEY,3.0,20.0,-10.0,60.0,VERTICAL,VERTICAL,RURAL,10000.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Target flight time must be greater than 0 minutes. Provided: -10.0 min.,
838,RESEARCH,20.04,20.1,66.2,75.8,RUNWAY,RUNWAY,MOUNTAIN,63223.42,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.7,MULTIROTOR,0.05,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the RESEARCH mission because it optimally satisfies the 20.04 kg payload, 20.1 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
839,CUSTOM,0.51,2.4,14.5,25.7,VERTICAL,VERTICAL,INDOOR,25172.42,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the CUSTOM mission because it optimally satisfies the 0.51 kg payload, 2.4 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
840,MILITARY,2.25,89.7,77.8,104.3,RUNWAY,BELLY_LANDING,RURAL,12447.98,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the MILITARY mission because it optimally satisfies the 2.25 kg payload, 89.7 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
841,RESEARCH,3.4,92.9,141.8,84.9,RUNWAY,BELLY_LANDING,RURAL,39798.36,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the RESEARCH mission because it optimally satisfies the 3.4 kg payload, 92.9 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
842,MAPPING,2.0,41.9,99.3,74.4,RUNWAY,PARACHUTE,FOREST,12665.3,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the MAPPING mission because it optimally satisfies the 2.0 kg payload, 41.9 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
843,AGRICULTURE,4.6,106.0,114.2,79.4,CATAPULT,PARACHUTE,FOREST,49144.35,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,None,,"FIXED_WING, VTOL","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the AGRICULTURE mission because it optimally satisfies the 4.6 kg payload, 106.0 km range, and CATAPULT takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
844,DELIVERY,1.01,3.5,18.8,33.3,VERTICAL,VERTICAL,INDOOR,34978.97,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the DELIVERY mission because it optimally satisfies the 1.01 kg payload, 3.5 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
845,DELIVERY,6.56,65.3,45.2,108.7,VERTICAL,VERTICAL,FOREST,53965.24,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the DELIVERY mission because it optimally satisfies the 6.56 kg payload, 65.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
846,MAPPING,2.08,45.0,82.4,117.9,VERTICAL,VERTICAL,MARINE,54331.97,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the MAPPING mission because it optimally satisfies the 2.08 kg payload, 45.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
847,SURVEY,0.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,10000.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Payload weight must be greater than 0 kg. Provided: 0.0 kg.,
848,INSPECTION,14.44,58.5,42.4,47.8,RUNWAY,VERTICAL,MOUNTAIN,69004.67,VTOL,True,0.8,VTOL,MULTIROTOR,0.15,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.8, Rating: GOOD). This category is recommended for the INSPECTION mission because it optimally satisfies the 14.44 kg payload, 58.5 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
849,DISASTER_RESPONSE,12.19,56.0,89.7,82.7,VERTICAL,RUNWAY,MOUNTAIN,44892.48,VTOL,True,0.95,VTOL,MULTIROTOR,0.0,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 12.19 kg payload, 56.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
850,TRAINING,4.07,100.2,107.6,86.9,VERTICAL,VERTICAL,MOUNTAIN,20513.73,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the TRAINING mission because it optimally satisfies the 4.07 kg payload, 100.2 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
851,SURVEY,2.0,500.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,Extended range target (500.0 km) approaches maximum battery energy density threshold.
852,SECURITY,4.1,95.4,121.3,54.4,CATAPULT,NET_RECOVERY,MOUNTAIN,77651.47,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the SECURITY mission because it optimally satisfies the 4.1 kg payload, 95.4 km range, and CATAPULT takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
853,SURVEY,2.0,500.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,Extended range target (500.0 km) approaches maximum battery energy density threshold.
854,CUSTOM,2.46,2.7,39.6,29.3,VERTICAL,VERTICAL,RURAL,37508.79,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the CUSTOM mission because it optimally satisfies the 2.46 kg payload, 2.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
855,SURVEY,2.0,500.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,Extended range target (500.0 km) approaches maximum battery energy density threshold.
856,SECURITY,14.47,44.9,38.0,69.9,RUNWAY,RUNWAY,MOUNTAIN,8730.54,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.15,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the SECURITY mission because it optimally satisfies the 14.47 kg payload, 44.9 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
857,CUSTOM,16.41,65.0,83.9,76.3,VERTICAL,RUNWAY,RURAL,14657.85,VTOL,True,0.95,VTOL,MULTIROTOR,0.0,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the CUSTOM mission because it optimally satisfies the 16.41 kg payload, 65.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
858,INSPECTION,1.13,7.8,17.8,38.2,VERTICAL,VERTICAL,URBAN,78282.36,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the INSPECTION mission because it optimally satisfies the 1.13 kg payload, 7.8 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
859,DISASTER_RESPONSE,11.67,24.6,70.7,81.0,VERTICAL,VERTICAL,DESERT,45276.03,VTOL,True,0.7,VTOL,MULTIROTOR,0.05,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.7, Rating: GOOD). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 11.67 kg payload, 24.6 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
860,MILITARY,1.18,4.2,13.5,18.8,VERTICAL,VERTICAL,INDOOR,6473.8,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the MILITARY mission because it optimally satisfies the 1.18 kg payload, 4.2 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
861,CUSTOM,3.26,8.5,21.5,47.7,VERTICAL,VERTICAL,URBAN,6273.88,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the CUSTOM mission because it optimally satisfies the 3.26 kg payload, 8.5 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
862,TRAINING,14.18,32.9,74.5,81.6,VERTICAL,VERTICAL,DESERT,60223.68,VTOL,True,0.95,VTOL,MULTIROTOR,0.0,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the TRAINING mission because it optimally satisfies the 14.18 kg payload, 32.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
863,DISASTER_RESPONSE,0.68,9.2,38.2,21.3,VERTICAL,VERTICAL,URBAN,69346.25,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 0.68 kg payload, 9.2 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
864,SURVEY,2.0,20.0,500.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,
865,SECURITY,3.38,4.7,22.1,42.7,VERTICAL,VERTICAL,RURAL,42537.82,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the SECURITY mission because it optimally satisfies the 3.38 kg payload, 4.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
866,SURVEY,3.0,-5.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,10000.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Target range must be greater than 0 km. Provided: -5.0 km.,
867,DISASTER_RESPONSE,1.03,111.3,65.0,80.2,RUNWAY,RUNWAY,FOREST,14971.7,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,None,,"FIXED_WING, VTOL","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 1.03 kg payload, 111.3 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
868,AGRICULTURE,3.05,101.9,134.7,77.8,CATAPULT,BELLY_LANDING,RURAL,23853.37,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,None,,"FIXED_WING, VTOL","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the AGRICULTURE mission because it optimally satisfies the 3.05 kg payload, 101.9 km range, and CATAPULT takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
869,SECURITY,7.61,97.8,108.1,105.3,VERTICAL,VERTICAL,RURAL,74967.69,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SECURITY mission because it optimally satisfies the 7.61 kg payload, 97.8 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
870,SURVEY,7.14,62.0,54.9,72.2,VERTICAL,VERTICAL,MARINE,76687.82,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 7.14 kg payload, 62.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
871,AGRICULTURE,16.09,78.2,29.2,89.0,VERTICAL,VERTICAL,MOUNTAIN,56574.8,VTOL,True,0.95,VTOL,MULTIROTOR,0.15,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the AGRICULTURE mission because it optimally satisfies the 16.09 kg payload, 78.2 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
872,TRAINING,3.74,4.8,35.2,21.1,VERTICAL,VERTICAL,RURAL,49023.51,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the TRAINING mission because it optimally satisfies the 3.74 kg payload, 4.8 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
873,RESEARCH,4.23,33.1,129.2,86.8,RUNWAY,PARACHUTE,DESERT,40034.55,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the RESEARCH mission because it optimally satisfies the 4.23 kg payload, 33.1 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
874,SURVEY,3.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,-100.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,
875,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
876,SECURITY,21.62,17.6,54.2,53.0,RUNWAY,VERTICAL,MOUNTAIN,34213.22,VTOL,True,0.7,VTOL,MULTIROTOR,0.05,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.7, Rating: GOOD). This category is recommended for the SECURITY mission because it optimally satisfies the 21.62 kg payload, 17.6 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
877,MILITARY,0.61,4.3,14.4,38.4,VERTICAL,VERTICAL,INDOOR,4797.32,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the MILITARY mission because it optimally satisfies the 0.61 kg payload, 4.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
878,SURVEY,2.0,500.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,Extended range target (500.0 km) approaches maximum battery energy density threshold.
879,SURVEY,25.0,250.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,
880,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
881,CUSTOM,20.93,31.3,55.1,57.7,VERTICAL,RUNWAY,MOUNTAIN,25376.95,VTOL,True,0.95,VTOL,MULTIROTOR,0.0,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the CUSTOM mission because it optimally satisfies the 20.93 kg payload, 31.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
882,SURVEY,4.58,43.7,131.9,92.9,RUNWAY,NET_RECOVERY,RURAL,6607.79,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 4.58 kg payload, 43.7 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
